,subcategory ,pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category
0,7,6773,4216,0,3,0,1624,25,901,9,92,3,3913,755,2320,2099,1193,2738,0,2063,9,0,71,0,369,553,0,1,0
1,6,5714,3223,7,2,2,2571,25,901,6,124,6,3290,2257,2771,0,0,0,0,0,6,0,424,0,104,34,0,1,0
2,1,4917,5273,0,2,3,3634,20,900,9,291,7,4658,899,1900,607,217,782,0,779,5,4,233,81,747,594,948,1,0
3,4,2899,2459,0,2,3,3079,20,617,1,9,7,2474,1058,233,233,0,234,233,233,0,1,0,1,2234,0,0,1,2
4,6,5639,3148,7,2,1,1626,22,901,2,70,6,2927,2182,2490,0,0,0,0,0,2,0,63,0,28,23,0,1,0
5,2,3449,6022,0,2,2,2293,24,609,9,733,7,5683,591,596,729,0,638,669,632,5,4,507,32,2070,1552,1300,1,3
6,2,3243,5816,0,2,5,4206,17,600,1,11,7,5453,348,169,169,0,169,169,169,0,1,2,1,2305,0,0,1,3
7,3,1451,1364,0,3,5,4527,112,697,1,71,0,1374,1242,925,1426,0,1373,1229,1429,0,1,13,59,1343,0,0,0,1
8,4,2121,1931,0,2,3,3079,20,451,1,9,7,1920,280,4,4,0,4,4,4,0,1,0,1,2506,0,0,1,2
9,4,2397,2120,0,2,3,3079,20,101,1,9,7,2123,556,141,141,0,141,141,141,0,1,0,1,2335,0,0,1,2
10,4,2176,1973,0,2,3,3079,20,81,1,9,7,1967,335,219,219,0,219,219,219,0,1,0,1,2249,0,0,1,2
11,5,867,832,0,2,3,1908,20,518,1,9,7,845,967,29,29,0,29,29,29,0,1,0,1,2477,0,0,1,2
12,4,2273,2041,0,2,3,3079,20,219,1,9,7,2040,432,148,148,0,148,148,148,0,1,0,1,2328,0,0,1,2
13,5,296,296,0,2,3,1908,20,464,1,9,7,291,396,155,155,0,155,155,155,0,1,0,1,2321,0,0,1,2
14,7,6208,3709,0,3,0,494,25,901,9,92,3,3603,190,2253,2095,1192,2724,0,2038,9,0,71,0,377,561,0,1,0
15,2,3462,6035,0,2,2,3062,24,609,9,733,7,5674,604,549,612,0,591,619,585,5,4,507,32,2122,1587,1332,1,3
16,6,5625,3134,7,2,1,1659,22,901,2,70,6,2882,2168,2483,0,0,0,0,0,2,0,63,0,28,23,0,1,0
17,4,2473,2177,0,2,3,3079,20,906,1,9,7,2179,632,133,133,0,133,133,133,0,1,0,1,2344,0,0,1,2
18,6,5162,2671,7,2,1,1267,22,901,2,70,6,2571,1705,2440,0,0,0,0,0,2,0,63,0,33,28,0,1,0
19,2,2984,5557,0,2,3,1051,20,372,27,746,2,5212,75,1133,2426,0,2141,1430,2220,13,16,460,131,1623,1297,1074,1,3
20,1,4855,5211,0,2,1,3824,25,900,7,546,7,4871,837,2030,2270,1406,2276,119,2359,4,3,230,108,485,264,145,1,0
21,1,4956,5312,0,2,3,3673,20,900,9,353,7,4681,938,1861,1676,936,1920,0,1884,5,4,306,81,786,633,379,1,0
22,4,2809,2402,0,2,3,3079,20,398,1,9,7,2416,968,68,68,0,68,68,68,0,1,0,1,2424,0,0,1,2
23,3,1376,1287,0,3,5,2957,82,697,1,71,0,1295,1164,851,1346,0,1296,1154,1352,0,1,13,59,1419,0,0,0,1
24,6,5228,2737,7,2,1,1277,22,901,2,70,6,2591,1771,2432,0,0,0,0,0,2,0,63,0,33,28,0,1,0
25,6,5576,3085,7,2,1,1556,22,901,2,70,6,2835,2119,2452,0,0,0,0,0,2,0,63,0,31,26,0,1,0
26,5,470,460,0,2,3,1908,20,247,1,9,7,441,570,76,76,0,76,76,76,0,1,0,1,2411,0,0,1,2
27,4,2722,2344,0,2,3,3079,20,525,1,9,7,2356,881,128,128,0,128,128,128,0,1,0,1,2350,0,0,1,2
28,6,5763,3272,7,2,2,2540,25,901,6,124,6,3275,2306,2750,0,0,0,0,0,6,0,424,0,106,36,0,1,0
29,5,575,561,0,2,3,1908,20,70,1,9,7,552,675,17,17,0,17,17,17,0,1,0,1,2490,0,0,1,2
30,2,3125,5700,0,2,5,4144,17,600,1,11,7,5345,222,181,181,0,181,181,181,0,1,2,1,2291,0,0,1,3
31,3,1809,1721,0,3,5,2226,88,697,1,81,0,1723,2808,864,1361,0,1311,1168,1365,0,1,34,57,1406,0,0,0,1
32,3,1197,1108,0,2,0,3100,138,598,22,772,2,1110,2663,951,2155,0,1710,1303,1689,12,12,454,155,1735,1398,1157,0,1
33,2,3703,6276,0,2,5,4411,17,600,1,11,7,5914,148,169,169,0,169,169,169,0,1,2,1,2305,0,0,1,3
34,3,1228,1139,0,3,0,2977,148,697,1,15,0,1142,2913,414,432,0,452,481,446,0,1,9,4,1952,0,0,0,1
35,7,6988,4369,0,3,0,2237,25,901,9,92,3,4044,970,2406,2108,1200,2760,0,2080,9,0,71,0,356,540,0,1,0
36,3,1379,1290,0,3,5,4790,13,697,1,114,0,1294,1167,745,1174,0,1151,1040,1143,0,1,13,89,1543,0,0,0,1
37,2,3030,5607,0,2,3,1103,20,372,5,66,7,5233,126,360,372,0,386,408,381,2,3,50,20,2176,1610,1374,1,3
38,1,4763,5119,0,2,2,3995,20,900,9,306,7,4574,745,1985,57,56,226,0,226,5,4,251,81,648,462,547,1,0
39,4,2380,2111,0,2,3,3079,20,460,1,9,7,2113,539,88,88,0,88,88,88,0,1,0,1,2396,0,0,1,2
40,6,5533,3042,7,2,1,1599,22,901,3,85,7,2855,2076,2525,922,424,1032,0,1020,2,1,63,1,73,23,0,1,0
