pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory 
2,1526344223.197482,e,tcp,192.168.100.7,139,192.168.100.4,36390,10,680,CON,1526345677.143407,10,1453.945923,2.8e-05,8e-06,,,0.000138,2.2e-05,4.2e-05,,,,,5,5,350,330,0.00619,0.002751,0.002751,0,Normal,Normal
3,1526344227.029374,e,udp,192.168.100.149,51838,27.124.125.250,123,2,180,CON,1526344227.077939,11,0.048565,0.048565,0.0,,,0.048565,0.048565,0.048565,,,,,1,1,90,90,20.59096,0.0,0.0,0,Normal,Normal
4,1526344228.312317,e,arp,192.168.100.4,,192.168.100.7,,10,510,CON,1526345682.39262,12,1454.080322,0.000238,2.2e-05,,,0.001189,0.000199,0.000261,,,,,5,5,210,300,0.006189,0.002751,0.002751,0,Normal,Normal
5,1526344302.636337,e,udp,192.168.100.27,58999,192.168.100.1,53,4,630,CON,1526344872.570281,14,569.93396,0.098505,0.08015,,,0.197011,0.018356,0.178655,,,,,2,2,174,456,0.005264,0.001755,0.001755,0,Normal,Normal
6,1526344302.814595,e,arp,192.168.100.1,,192.168.100.27,,2,120,CON,1526344302.814962,15,0.000367,0.000367,0.0,,,0.000367,0.000367,0.000367,,,,,1,1,60,60,2724.795654,0.0,0.0,0,Normal,Normal
7,1526344307.702431,e,arp,192.168.100.27,,192.168.100.1,,4,240,CON,1526344877.558365,16,569.855957,0.000122,2.5e-05,,,0.000243,9.7e-05,0.000146,,,,,2,2,120,120,0.005264,0.001755,0.001755,0,Normal,Normal
8,1526344326.433386,e,udp,192.168.100.150,58360,192.168.217.2,53,2,172,INT,1526344328.933487,18,2.500101,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,172,0,0.399984,0.399984,0.0,0,Normal,Normal
9,1526344328.399242,e,udp,192.168.100.149,37214,192.168.217.2,53,2,172,INT,1526344330.900343,41,2.501101,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,172,0,0.399824,0.399824,0.0,0,Normal,Normal
10,1526344331.592123,e,arp,192.168.100.150,,192.168.100.1,,6,360,CON,1526345483.848775,65,1152.256592,9.1e-05,1.4e-05,,,0.000273,7.5e-05,0.000109,,,,,3,3,180,180,0.004339,0.001736,0.001736,0,Normal,Normal
11,1526344332.465525,e,udp,192.168.100.7,138,192.168.100.255,138,4,1086,INT,1526345060.836366,104,728.37085,7.7e-05,1.6e-05,,,0.000154,6.1e-05,9.3e-05,,,,,4,0,1086,0,0.004119,0.004119,0.0,0,Normal,Normal
