,subcategory ,pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category
0,4,53296,46786,0,5,8,40565,34,1643,1,27,8,42814,573,161,161,0,161,161,161,0,1,1,2,58781,0,0,1,3
1,5,30840,28477,0,5,5,9565,34,3664,2,47,8,25027,2169,6053,7142,0,6653,6356,6612,1,1,41,2,53123,43866,0,1,3
2,7,182239,125682,0,6,7,40652,39,6775,4,94,4,109160,94143,49453,46105,37490,57510,0,53614,4,0,119,0,11127,20153,0,1,1
3,6,251954,202574,0,5,8,57804,34,6775,3,147,8,191697,42609,40366,13702,11093,18564,0,18562,2,1,145,2,15594,14340,0,1,0
4,5,8495,7554,0,1,10,5,28,673,0,4,10,5975,8738,0,0,0,0,0,0,0,0,6,0,0,0,0,1,3
5,7,153049,107385,0,6,5,59359,37,6775,5,117,4,101475,64953,55209,43044,34042,54744,0,48652,5,0,142,0,13558,22908,0,1,1
6,6,218954,170325,8,5,5,58389,34,6775,5,194,8,155428,9609,24956,21368,16831,32835,7608,30667,3,2,174,14,31771,26956,6921,1,0
7,1,122591,145348,0,5,6,52501,40,6776,9,1536,8,133645,3791,82585,28038,19440,36666,0,34357,5,4,511,321,5681,3423,12564,1,1
8,6,219569,170940,0,5,6,34051,34,6775,3,147,8,161171,10224,29801,5522,3392,8313,0,8273,2,1,145,2,20192,19327,0,1,0
9,5,47401,42890,0,1,13,5,28,932,0,4,10,37822,19098,0,0,0,0,0,0,0,0,6,0,0,0,0,1,3
10,4,58630,51238,0,5,7,54932,37,6041,1,27,8,47473,5918,545,545,0,545,545,545,0,1,1,2,57996,0,0,1,3
11,6,237998,188923,10,5,6,2720,34,6775,1,97,7,174753,28653,34397,0,0,0,0,0,1,0,121,0,3764,5807,0,1,0
12,4,59069,51594,0,5,6,32061,37,6096,1,27,8,47904,6357,1255,1255,0,1255,1255,1255,0,1,1,2,56914,0,0,1,3
13,1,190440,212173,0,5,8,49680,34,6776,9,1014,8,196173,951,59091,38960,32635,48458,0,46717,5,4,617,213,26314,20851,24548,1,0
14,7,147775,103005,0,6,5,57520,37,6775,5,117,4,99605,59679,57085,42799,33751,54072,0,47909,5,0,142,0,13324,21977,0,1,1
15,6,219364,170735,0,5,5,58643,34,6775,3,147,8,153873,10019,23901,6680,4197,9710,0,9663,2,1,145,2,21859,20430,0,1,0
16,5,16484,15230,0,5,6,24949,34,3081,1,27,8,11415,17092,66,66,0,66,66,66,0,1,1,2,59181,0,0,1,3
17,1,133371,156128,0,5,6,19817,40,6776,9,1559,3,144708,3217,89000,28,48,112,0,112,5,4,534,321,2563,1816,1304,1,1
18,1,119539,142301,10,5,7,24078,34,6775,8,1624,1,130059,11768,13879,43899,0,43325,20279,41107,6,2,1336,19,42805,37216,26771,1,1
19,5,49941,45263,0,5,6,17980,34,1388,1,27,8,40065,21688,124,124,0,124,124,124,0,1,1,2,58907,0,0,1,3
20,4,96261,83355,0,5,7,31996,37,1277,1,27,8,82877,43912,610,610,0,610,610,610,0,1,1,2,57884,0,0,1,3
21,3,138931,95424,0,5,13,0,34,0,685,4728,1,95536,1604,73758,50041,23898,63381,21616,58583,676,0,3756,0,47018,42355,0,0,2
22,1,118339,141101,0,5,7,21478,34,6775,9,961,8,129562,10433,72712,20,35,81,0,81,5,4,564,213,12946,8447,17975,1,1
23,1,194047,215748,0,5,6,54987,34,6776,9,1172,8,199436,4826,68959,279,379,838,0,838,5,4,775,213,16461,11417,28617,1,0
24,1,118590,141352,0,5,7,21828,34,6775,9,914,8,129665,10684,66349,21,36,84,0,84,5,4,517,213,18870,13486,19334,1,1
25,1,197826,219528,0,5,6,23255,34,6776,9,1183,8,202710,9127,73022,28,48,112,0,112,5,4,786,213,12696,8260,17359,1,0
26,6,247838,198458,10,5,8,56580,34,6775,1,97,7,190918,38493,40542,0,0,0,0,0,1,0,121,0,2382,3695,0,1,0
27,6,252176,202796,8,5,6,6688,34,6775,5,194,8,181477,42831,36913,23843,14477,34880,11893,31313,3,2,174,14,30626,26136,5993,1,0
