,subcategory ,pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category
0,5,1995,1834,0,5,7,56480,34,3478,1,27,8,1822,2065,671,671,0,671,671,671,0,1,1,2,57807,0,0,1,3
1,6,220814,172185,0,5,5,59281,34,6775,3,147,8,154329,11469,24066,5169,3139,7907,0,7863,2,1,145,2,21833,20409,0,1,0
2,6,213295,164831,0,5,5,45639,34,6775,3,147,8,150819,3950,22322,3678,2315,6258,0,6213,2,1,145,2,23524,21223,0,1,0
3,5,34292,31449,10,5,8,6764,34,2383,3,69,8,28012,5694,4485,4860,0,4791,4581,4757,1,2,41,14,56092,44924,37067,1,3
4,6,244503,195234,10,5,6,4871,34,6775,1,97,7,177511,35158,35460,0,0,0,0,0,1,0,121,0,3701,5743,0,1,0
5,6,224172,175531,8,5,5,565,34,6775,5,194,8,159853,14827,27648,18582,14278,26399,8224,25038,3,2,174,14,31625,26834,6628,1,0
6,5,19820,18183,0,5,8,46551,34,3030,12,580,3,14409,20435,9259,24601,0,27106,14075,26351,6,6,250,181,49471,41416,34708,1,3
7,5,14664,13637,0,5,8,56557,34,6083,1,27,8,9801,15259,47,47,0,47,47,47,0,1,1,2,59275,0,0,1,3
8,5,4505,3560,0,6,6,20694,34,4536,0,67,4,3635,4520,0,0,0,0,0,0,0,0,90,0,0,0,0,1,3
9,5,11378,10431,0,1,10,5,28,706,0,4,10,7643,11804,0,0,0,0,0,0,0,0,6,0,0,0,0,1,3
10,6,257160,207780,0,5,5,13227,34,6775,3,147,8,177446,47815,31418,13326,10682,18066,0,17977,2,1,145,2,19945,18945,0,1,0
11,6,237593,188518,10,5,6,2527,34,6775,1,97,7,174545,28248,34271,0,0,0,0,0,1,0,121,0,3778,5812,0,1,0
12,6,240929,191768,10,5,5,8030,34,6775,1,97,7,168226,31584,27188,0,0,0,0,0,1,0,121,0,4189,6180,0,1,0
13,6,213781,165317,0,5,5,48173,34,6775,3,147,8,150949,4436,22340,4649,2784,7268,0,7229,2,1,145,2,23407,21204,0,1,0
14,6,256437,207057,0,5,7,58829,34,6775,3,147,8,187069,47092,38629,13872,11282,18835,0,18834,2,1,145,2,18651,17048,0,1,0
15,6,242857,193672,10,5,7,45043,34,6775,1,97,7,183532,33512,38291,0,0,0,0,0,1,0,121,0,3049,5585,0,1,0
16,6,223741,175100,0,5,5,292,34,6775,3,147,8,155817,14396,24735,6507,4046,9427,0,9381,2,1,145,2,21602,20193,0,1,0
17,5,1076,1003,0,5,7,56480,34,3837,1,27,8,993,1165,2,2,0,2,2,2,0,1,1,2,59452,0,0,1,3
18,6,225290,176649,0,5,5,1138,34,6775,3,147,8,156796,15945,25055,8604,5515,11899,0,11850,2,1,145,2,21443,20151,0,1,0
19,6,227268,178571,8,5,6,58576,34,6775,5,194,8,168624,17923,33143,15456,9983,20999,9084,19045,3,2,174,14,31094,26552,6261,1,0
20,6,249078,199698,0,5,7,57142,34,6775,3,147,8,185181,39733,37455,14072,11493,19169,0,19194,2,1,145,2,18777,17107,0,1,0
21,5,7439,6497,0,6,6,20687,34,2499,0,0,4,5365,7617,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
22,5,13887,12940,11,6,7,28688,34,2381,0,0,4,9096,14468,44,44,0,44,44,44,0,0,1,0,0,0,0,1,3
23,6,236151,187076,10,5,7,16308,34,6775,1,97,7,181964,26806,39006,0,0,0,0,0,1,0,121,0,3008,5547,0,1,0
24,5,10928,9981,11,6,7,28686,34,4468,0,0,4,7383,11327,115,115,0,115,115,115,0,0,1,0,0,0,0,1,3
25,6,247754,198374,10,5,8,56520,34,6775,1,97,7,190839,38409,40565,0,0,0,0,0,1,0,121,0,2382,3695,0,1,0
26,5,17428,16114,0,5,6,55316,34,6775,10,1577,3,12296,18044,8451,23295,0,23954,13248,23712,5,5,1015,241,49832,41714,34947,1,3
27,6,258605,209225,10,5,6,8532,34,6775,1,97,7,180969,49260,36094,0,0,0,0,0,1,0,121,0,3671,5720,0,1,0
28,5,33021,30338,0,5,8,55078,37,3026,1,27,8,26541,4385,242,242,0,242,242,242,0,1,1,2,58595,0,0,1,3
29,6,235810,186735,0,5,6,2182,34,6775,3,147,8,173444,26465,34028,13393,10762,18131,0,18043,2,1,145,2,19798,18601,0,1,0
30,6,245869,196600,10,5,7,53741,34,6775,1,97,7,184324,36524,38149,0,0,0,0,0,1,0,121,0,3059,5595,0,1,0
31,5,24625,22977,0,5,8,15292,34,1212,1,27,8,19213,713,48,48,0,48,48,48,0,1,1,2,59269,0,0,1,3
32,5,21995,20345,0,5,8,47723,34,3031,12,580,3,16587,22598,9701,25045,0,27550,14517,26793,6,6,250,181,49025,40970,34261,1,3
33,6,250482,201102,10,5,6,6290,34,6775,3,147,8,181267,41137,36741,21443,17243,32952,0,31255,2,1,145,2,19011,17643,0,1,0
34,5,31304,28788,0,5,5,9565,34,4616,1,27,8,24872,2637,1214,1214,0,1214,1214,1214,0,1,1,2,56979,0,0,1,3
35,5,46301,41790,11,6,5,35391,37,2249,0,0,4,37186,17928,209,209,0,209,209,209,0,0,1,0,0,0,0,1,3
36,6,224464,175823,0,5,5,695,34,6775,3,147,8,156180,15119,24851,6521,4059,9453,0,9407,2,1,145,2,21511,20182,0,1,0
37,6,228683,179906,0,5,5,3007,34,6775,3,147,8,160410,19338,25982,8424,5426,11741,0,11690,2,1,145,2,21051,19939,0,1,0
