,subcategory ,pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category
0,3,103318,89765,0,6,6,46654,284,5150,1,64,1,89776,267,7773,22006,0,22672,12460,22460,0,1,9,21,44205,0,0,0,2
1,5,30531,28194,0,5,6,14179,34,6770,3,69,8,24471,1854,4797,5279,0,5163,4965,5128,1,2,41,14,55734,44669,36782,1,3
2,1,203596,225280,0,5,8,39641,40,6776,9,1614,3,209222,5055,94212,41,72,166,0,166,5,4,589,321,1227,1143,3515,1,0
3,6,228770,179983,8,5,6,59347,34,6775,5,194,8,170428,19425,33797,16670,12189,22492,9471,21538,3,2,174,14,31049,26505,6221,1,0
4,7,146665,102052,0,6,5,57170,37,6775,5,117,4,99255,58569,57372,42764,33718,53966,0,47866,5,0,142,0,13210,21947,0,1,1
5,1,120597,143354,0,5,7,25713,34,6776,9,831,8,131483,1060,51040,37349,31627,47420,0,45440,5,4,434,213,29526,24499,24676,1,1
6,6,228813,180018,8,5,6,59434,34,6775,5,194,8,170727,19468,34019,17885,13124,25221,9832,23235,3,2,174,14,30959,26490,6200,1,0
7,6,240048,190887,0,5,7,33233,34,6775,3,147,8,182872,30703,38293,12986,10358,17629,0,17509,2,1,145,2,18724,17062,0,1,0
8,1,115365,138127,0,5,7,54864,34,6775,9,816,8,126798,7309,71855,82,115,245,0,245,5,4,419,213,13816,9235,28550,1,1
9,7,160336,111473,0,6,8,26745,40,6775,4,94,4,115325,72240,58681,39489,35469,51517,0,51797,4,0,119,0,9169,15534,0,1,1
10,4,85735,74633,0,5,5,46359,40,4724,7,220,8,75490,33251,36461,44382,36908,50390,609,50285,3,4,116,100,35468,26231,22647,1,3
11,1,129392,152149,0,5,6,55834,40,6776,9,1570,8,142025,11510,87451,23,46,116,0,116,5,4,545,321,3191,2114,1725,1,1
12,7,175379,120598,0,6,8,34956,40,6775,4,94,4,117586,87283,55270,39718,35821,52112,0,52446,4,0,119,0,9845,17303,0,1,1
